mc_step,0&1,1&2,2&3,3&4,4&5,5&6,6&7,7&8,8&9,9&10,10&11,11&12,12&13,13&14,14&15,15&16,16&17,17&18,18&19,19&20,20&21,21&22,22&23,23&24,24&25,25&26,26&27,27&28,28&29,29&30,30&31,31&32,32&33,33&34,34&35,35&36,36&37,37&38,38&39,39&40,40&41,41&42,42&43,43&44,44&45,45&46,46&47,47&48,48&49,
8200,0.996829,0.999024,0.997561,0.995366,0.993171,0.98878,0.985366,0.975854,0.967073,0.955366,0.920244,0.89122,0.827805,0.76561,0.70439,0.669756,0.670732,0.693415,0.689024,0.679268,0.712927,0.709268,0.722927,0.716341,0.715366,0.716098,0.723659,0.693415,0.719512,0.70878,0.708293,0.715854,0.724146,0.718049,0.738293,0.720488,0.72878,0.716829,0.738293,0.723659,0.716341,0.70878,0.727805,0.719756,0.714878,0.710976,0.703415,0.692439,0.669512,
8400,0.996667,0.999048,0.997619,0.995476,0.992857,0.98881,0.985476,0.975952,0.966667,0.954762,0.91881,0.890952,0.827381,0.763095,0.705714,0.669286,0.668571,0.693095,0.690238,0.679762,0.713095,0.710238,0.722619,0.717381,0.715,0.716905,0.724762,0.694762,0.71881,0.709524,0.707381,0.719524,0.725476,0.719286,0.739762,0.720714,0.729762,0.716429,0.736905,0.722857,0.716667,0.707143,0.728571,0.721667,0.71619,0.711429,0.704762,0.69381,0.669762,
8600,0.996744,0.99907,0.997674,0.995349,0.992791,0.988837,0.985349,0.975349,0.966279,0.954651,0.918837,0.89093,0.827907,0.764419,0.704186,0.670465,0.667442,0.692791,0.690698,0.682326,0.715116,0.711395,0.719767,0.71814,0.716977,0.718372,0.725581,0.696047,0.717209,0.711163,0.709302,0.717209,0.725349,0.718837,0.740698,0.72093,0.72814,0.716977,0.736744,0.724651,0.717442,0.709302,0.73,0.721628,0.716279,0.710698,0.706279,0.693256,0.67186,
8800,0.996818,0.999091,0.997727,0.995,0.992955,0.988636,0.985,0.975909,0.966591,0.953636,0.917727,0.890682,0.827273,0.765682,0.702045,0.668636,0.6675,0.695682,0.690909,0.682727,0.716136,0.712273,0.717273,0.716818,0.717955,0.718182,0.724773,0.697045,0.7175,0.712045,0.708182,0.717273,0.727045,0.720455,0.740227,0.721818,0.728182,0.717273,0.734545,0.723636,0.717273,0.709773,0.731136,0.723636,0.715227,0.709545,0.704545,0.695227,0.674091,
9000,0.996667,0.999111,0.997778,0.995111,0.992667,0.988444,0.985111,0.976,0.966222,0.953556,0.917111,0.890444,0.828,0.766222,0.699333,0.666,0.669111,0.696667,0.690667,0.683333,0.717778,0.711778,0.715556,0.717556,0.718,0.718222,0.725111,0.698667,0.717556,0.710667,0.706222,0.718889,0.725556,0.721111,0.740222,0.723111,0.729111,0.718667,0.731778,0.724,0.717778,0.708889,0.733556,0.724222,0.716889,0.709333,0.704222,0.696444,0.675111,
9200,0.996739,0.99913,0.997826,0.995217,0.992609,0.988043,0.985217,0.975652,0.965652,0.952609,0.917174,0.891087,0.827391,0.763913,0.7,0.666522,0.670435,0.696522,0.689783,0.682391,0.719783,0.713261,0.714565,0.716957,0.718913,0.71913,0.724565,0.701087,0.718261,0.712174,0.706522,0.718913,0.726087,0.723043,0.739783,0.725435,0.728261,0.718913,0.734348,0.726957,0.719348,0.709783,0.734348,0.725,0.716087,0.709348,0.706739,0.698478,0.675435,
9400,0.996809,0.999149,0.997872,0.995319,0.992766,0.987872,0.985319,0.975745,0.965957,0.952766,0.917872,0.890426,0.825319,0.762553,0.699362,0.667447,0.67,0.695957,0.690638,0.684894,0.718936,0.71383,0.715957,0.718298,0.720426,0.720851,0.723617,0.702553,0.719362,0.713191,0.705745,0.718511,0.725319,0.722766,0.74,0.725957,0.73,0.719574,0.735106,0.727021,0.718936,0.711277,0.73383,0.725319,0.716383,0.708298,0.704894,0.698511,0.67766,
9600,0.996667,0.999167,0.997917,0.995208,0.9925,0.987917,0.985625,0.976042,0.965208,0.953542,0.917917,0.891042,0.825208,0.763958,0.699792,0.663125,0.673333,0.695625,0.6925,0.686458,0.71875,0.713125,0.715833,0.718125,0.720417,0.723125,0.724167,0.703125,0.72,0.714583,0.705833,0.717708,0.725208,0.724167,0.742083,0.725,0.73125,0.719792,0.73375,0.726875,0.720417,0.711458,0.733542,0.724583,0.718542,0.709583,0.705208,0.700417,0.678125,
9800,0.996531,0.999184,0.997755,0.994898,0.992653,0.987755,0.985102,0.976327,0.965714,0.953061,0.917551,0.890204,0.824898,0.765714,0.698776,0.664082,0.671837,0.695918,0.693061,0.687755,0.716735,0.713878,0.717347,0.717755,0.719796,0.722653,0.724082,0.703469,0.720816,0.716122,0.706531,0.715918,0.72551,0.724898,0.743469,0.725102,0.73102,0.721224,0.73449,0.726735,0.72,0.711429,0.732245,0.726327,0.717551,0.71102,0.705306,0.702041,0.679592,
10000,0.9962,0.9992,0.9976,0.995,0.9928,0.9878,0.985,0.9764,0.9658,0.9536,0.9176,0.89,0.8234,0.767,0.6978,0.6662,0.6724,0.6952,0.6926,0.689,0.717,0.714,0.7174,0.7156,0.7182,0.7234,0.724,0.7052,0.7226,0.7166,0.708,0.715,0.7244,0.7262,0.7436,0.7246,0.7304,0.72,0.7338,0.7278,0.7212,0.7126,0.7306,0.723,0.7172,0.7116,0.7072,0.7028,0.6808,
10200,0.996078,0.999216,0.997647,0.994902,0.992745,0.988039,0.984902,0.975686,0.966275,0.952745,0.917451,0.889608,0.823137,0.766078,0.698431,0.664706,0.674902,0.696275,0.694706,0.69,0.716667,0.713725,0.718039,0.715882,0.717059,0.723922,0.721961,0.706078,0.723529,0.717059,0.708627,0.715294,0.725098,0.727647,0.741569,0.725098,0.729412,0.718235,0.731569,0.727255,0.722941,0.712549,0.731373,0.722941,0.717451,0.712353,0.709608,0.703725,0.681961,
10400,0.996154,0.999231,0.997692,0.995,0.992885,0.988077,0.985,0.975577,0.966154,0.951154,0.918269,0.888846,0.822115,0.765385,0.697308,0.666923,0.676154,0.696154,0.696346,0.689808,0.717692,0.714423,0.716538,0.716346,0.716731,0.724808,0.722308,0.705769,0.722115,0.717308,0.708269,0.714808,0.725962,0.727115,0.740577,0.724615,0.73,0.718269,0.731154,0.728462,0.722885,0.711538,0.7325,0.725577,0.717115,0.711346,0.708462,0.705577,0.682692,
10600,0.996038,0.999245,0.997547,0.994906,0.99283,0.987736,0.984906,0.97566,0.966226,0.950943,0.917547,0.889057,0.822075,0.76566,0.698113,0.66566,0.672642,0.697547,0.698113,0.692264,0.717358,0.716415,0.716604,0.716981,0.716792,0.725472,0.724151,0.705849,0.721321,0.718113,0.708302,0.715283,0.72717,0.72566,0.740755,0.725094,0.73,0.718113,0.730377,0.728679,0.722453,0.71434,0.73434,0.72566,0.717358,0.71283,0.709623,0.705283,0.683774,
10800,0.996111,0.999259,0.997593,0.994815,0.992963,0.987593,0.984815,0.975556,0.966296,0.950556,0.917778,0.888333,0.822778,0.767407,0.698889,0.663519,0.671296,0.696667,0.695741,0.692222,0.716111,0.718519,0.716481,0.717963,0.717037,0.726852,0.724815,0.705741,0.721667,0.717407,0.709259,0.71537,0.726296,0.72537,0.741481,0.725741,0.730185,0.719074,0.730741,0.727407,0.722593,0.713889,0.733704,0.727037,0.718704,0.713333,0.710926,0.706296,0.683519,
11000,0.996,0.999273,0.997455,0.994727,0.992909,0.987455,0.984909,0.975636,0.966545,0.950909,0.918909,0.887636,0.822545,0.768364,0.698364,0.662182,0.673455,0.697455,0.697273,0.693091,0.717455,0.719091,0.717091,0.719091,0.717636,0.726909,0.724727,0.706,0.720909,0.718909,0.711455,0.717818,0.728545,0.724182,0.741455,0.726909,0.730545,0.717818,0.730727,0.726182,0.722182,0.714909,0.734909,0.726909,0.718909,0.714545,0.712727,0.707455,0.684545,
