mc_step,0&1,1&2,2&3,3&4,4&5,5&6,6&7,7&8,8&9,9&10,10&11,11&12,12&13,13&14,14&15,15&16,16&17,17&18,18&19,19&20,20&21,21&22,22&23,23&24,24&25,25&26,26&27,27&28,28&29,29&30,30&31,31&32,32&33,33&34,34&35,35&36,36&37,37&38,38&39,39&40,40&41,41&42,42&43,43&44,44&45,45&46,46&47,47&48,48&49,
7200,0.9975,0.998333,0.995556,0.995833,0.993611,0.9925,0.986111,0.98,0.968056,0.946667,0.919444,0.884167,0.841944,0.7725,0.692222,0.657778,0.675278,0.680278,0.690556,0.707222,0.682778,0.7025,0.694167,0.681944,0.689444,0.7125,0.695833,0.705278,0.6975,0.6875,0.700278,0.708333,0.703889,0.7075,0.721389,0.715833,0.726389,0.706667,0.702222,0.709167,0.706667,0.715,0.728611,0.716944,0.721111,0.705833,0.705833,0.6825,0.664167,
7400,0.997027,0.998378,0.995676,0.995946,0.993784,0.992162,0.986486,0.979459,0.966486,0.945405,0.917568,0.883514,0.841622,0.772432,0.691892,0.65973,0.674865,0.68027,0.692162,0.708108,0.685676,0.704324,0.694054,0.682703,0.691081,0.714865,0.697297,0.705135,0.7,0.687568,0.701351,0.710811,0.700811,0.708108,0.722973,0.717297,0.727027,0.708108,0.703514,0.710811,0.705405,0.715946,0.727838,0.718649,0.721622,0.708108,0.706757,0.684865,0.665135,
7600,0.997105,0.998421,0.995789,0.996053,0.993684,0.991579,0.986316,0.978947,0.966579,0.945526,0.918421,0.884211,0.842105,0.773421,0.688158,0.659474,0.673158,0.678684,0.691316,0.706842,0.686579,0.703684,0.695263,0.685263,0.693158,0.716316,0.697895,0.705263,0.702105,0.69,0.703421,0.711053,0.700789,0.710263,0.723158,0.718684,0.726579,0.706053,0.701053,0.710526,0.705263,0.717368,0.730263,0.721842,0.723947,0.710263,0.707895,0.684474,0.666316,
7800,0.997179,0.998462,0.995897,0.995897,0.993846,0.991795,0.98641,0.978718,0.965641,0.945385,0.918462,0.884103,0.841795,0.774615,0.688205,0.658718,0.671538,0.68,0.689744,0.706923,0.69,0.706154,0.69641,0.688718,0.695385,0.717949,0.698718,0.707692,0.703846,0.689231,0.702821,0.709487,0.700513,0.71,0.724872,0.722051,0.726154,0.705897,0.702564,0.712564,0.707179,0.718462,0.728974,0.723333,0.72359,0.710769,0.708718,0.685641,0.667436,
8000,0.99725,0.9985,0.996,0.996,0.994,0.992,0.9865,0.97875,0.96625,0.94425,0.918,0.885,0.83925,0.77525,0.68775,0.66075,0.6725,0.67625,0.6905,0.708,0.69025,0.707,0.698,0.6905,0.696,0.715,0.69825,0.7095,0.70625,0.69175,0.7065,0.71125,0.7025,0.711,0.722,0.72325,0.7275,0.7075,0.70425,0.71275,0.708,0.719,0.73,0.72525,0.725,0.7135,0.7105,0.68775,0.669,
8200,0.997317,0.998537,0.996098,0.996098,0.993902,0.991707,0.986829,0.978537,0.965122,0.942927,0.917317,0.884634,0.838293,0.773415,0.689756,0.663171,0.674634,0.675854,0.689756,0.708537,0.691463,0.708293,0.699268,0.691707,0.694146,0.71561,0.698537,0.709512,0.707073,0.69561,0.706829,0.712927,0.70439,0.713415,0.723902,0.724146,0.727073,0.708537,0.706098,0.712683,0.706585,0.719268,0.731463,0.727561,0.726341,0.712195,0.710244,0.689024,0.670976,
8400,0.996905,0.998571,0.99619,0.995952,0.993571,0.991667,0.986429,0.978333,0.965238,0.943571,0.917143,0.884048,0.835714,0.773095,0.691905,0.661905,0.677143,0.676905,0.69119,0.70881,0.690952,0.708571,0.698571,0.692857,0.696429,0.716429,0.700476,0.71,0.706667,0.695,0.707857,0.714762,0.704762,0.714762,0.725238,0.725238,0.725952,0.708095,0.705,0.712381,0.707857,0.71881,0.732857,0.726667,0.725476,0.714762,0.712143,0.691429,0.672619,
8600,0.996977,0.998372,0.996279,0.996047,0.993721,0.990698,0.986744,0.977907,0.964884,0.943721,0.916744,0.884186,0.836744,0.774651,0.692558,0.66093,0.677209,0.675814,0.68907,0.705814,0.689767,0.709302,0.699302,0.693488,0.696744,0.716512,0.699767,0.710698,0.707674,0.695349,0.707907,0.714419,0.703721,0.713023,0.723721,0.726744,0.725349,0.709302,0.705814,0.710698,0.71,0.720465,0.733721,0.72814,0.725116,0.715581,0.712791,0.693256,0.674884,
8800,0.997045,0.998409,0.996364,0.996136,0.993864,0.990909,0.986591,0.977955,0.964091,0.944091,0.9175,0.883636,0.836136,0.774091,0.692273,0.66,0.677955,0.677045,0.689545,0.707273,0.691818,0.708636,0.701818,0.693182,0.697273,0.717727,0.701364,0.712273,0.708409,0.697273,0.708636,0.714318,0.703864,0.712955,0.722955,0.726818,0.728409,0.7125,0.707955,0.709318,0.711136,0.718636,0.734318,0.73,0.726136,0.716818,0.712273,0.693409,0.6725,
9000,0.997111,0.998444,0.996444,0.996222,0.994,0.990667,0.986667,0.978222,0.964667,0.944,0.917556,0.883333,0.835778,0.773111,0.690667,0.661333,0.677333,0.677333,0.689778,0.706444,0.691111,0.710222,0.700444,0.693111,0.694667,0.717778,0.703333,0.712889,0.708667,0.699111,0.710222,0.714889,0.703333,0.715111,0.723556,0.726222,0.730222,0.715556,0.710222,0.711111,0.712444,0.718222,0.734889,0.729333,0.726222,0.715778,0.714222,0.693778,0.672222,
