mc_step,0&1,1&2,2&3,3&4,4&5,5&6,6&7,7&8,8&9,9&10,10&11,11&12,12&13,13&14,14&15,15&16,16&17,17&18,18&19,19&20,20&21,21&22,22&23,23&24,24&25,25&26,26&27,27&28,28&29,29&30,30&31,31&32,32&33,33&34,34&35,35&36,36&37,37&38,38&39,39&40,40&41,41&42,42&43,43&44,44&45,45&46,46&47,47&48,48&49,
7600,0.996842,0.998158,0.997368,0.995789,0.993947,0.988684,0.985,0.974474,0.965,0.946316,0.917632,0.884211,0.838947,0.773158,0.702895,0.668684,0.650789,0.66,0.668684,0.687368,0.692632,0.703947,0.707632,0.712895,0.699737,0.705263,0.692105,0.698421,0.708684,0.723421,0.72,0.705,0.717368,0.732105,0.724737,0.707105,0.711579,0.718158,0.72,0.732895,0.722895,0.709474,0.735789,0.733947,0.731842,0.717105,0.711579,0.699474,0.678684,
7800,0.996923,0.998205,0.997436,0.995385,0.994103,0.988718,0.985128,0.974359,0.965128,0.94641,0.918462,0.884359,0.839487,0.769487,0.701795,0.667949,0.65359,0.659231,0.671538,0.688974,0.694103,0.705128,0.709487,0.713077,0.700513,0.702308,0.692564,0.7,0.709744,0.725641,0.719487,0.706154,0.719487,0.733077,0.724103,0.708718,0.712821,0.719231,0.719231,0.732308,0.723333,0.709744,0.734615,0.734359,0.733846,0.715385,0.710769,0.700769,0.680513,
8000,0.997,0.99825,0.9975,0.9955,0.99375,0.98825,0.98525,0.9745,0.96525,0.9465,0.91975,0.88475,0.8385,0.7665,0.70225,0.6685,0.65425,0.66075,0.6735,0.691,0.69525,0.70625,0.7095,0.7135,0.70225,0.70325,0.6935,0.70025,0.70975,0.72575,0.72025,0.705,0.719,0.73325,0.7245,0.708,0.7155,0.721,0.72025,0.73425,0.72475,0.71425,0.73575,0.7345,0.733,0.715,0.7115,0.697,0.68125,
8200,0.997073,0.998293,0.997561,0.995366,0.993659,0.988293,0.985366,0.973902,0.96561,0.946585,0.920488,0.884634,0.838049,0.766829,0.700732,0.66878,0.652683,0.662683,0.675122,0.692927,0.694878,0.70878,0.710976,0.715366,0.702439,0.70561,0.694634,0.7,0.71,0.728293,0.720488,0.706098,0.719512,0.733415,0.72561,0.707317,0.717073,0.720732,0.720976,0.733902,0.725854,0.712195,0.734878,0.736098,0.731463,0.712683,0.710244,0.697561,0.682927,
8400,0.996667,0.998333,0.997619,0.995476,0.99381,0.988095,0.985476,0.974048,0.966429,0.946667,0.92,0.884048,0.838333,0.76881,0.69881,0.667143,0.650952,0.664286,0.677619,0.69381,0.696667,0.709762,0.713571,0.715952,0.703333,0.705952,0.695476,0.70119,0.709048,0.728571,0.722857,0.707381,0.720714,0.735,0.726905,0.709286,0.718095,0.720476,0.72,0.733333,0.724286,0.712143,0.735476,0.734048,0.731905,0.711667,0.71119,0.696429,0.685714,
8600,0.996047,0.99814,0.997674,0.995349,0.993953,0.987907,0.985349,0.974419,0.966512,0.947209,0.919535,0.883721,0.838837,0.76814,0.698605,0.666279,0.649767,0.665814,0.676279,0.694651,0.698605,0.711395,0.713023,0.716279,0.703488,0.708605,0.696744,0.701395,0.708372,0.727674,0.724884,0.707907,0.720465,0.735116,0.72814,0.710465,0.719535,0.721628,0.720233,0.732326,0.725349,0.712558,0.736512,0.733023,0.731163,0.712326,0.711163,0.69814,0.686977,
8800,0.996136,0.998182,0.997727,0.995455,0.993864,0.987727,0.984773,0.974773,0.965682,0.947273,0.919091,0.884091,0.838182,0.767273,0.696364,0.6675,0.65,0.669773,0.676364,0.695682,0.698636,0.710682,0.712955,0.718864,0.704318,0.708636,0.698182,0.703182,0.708636,0.729091,0.727045,0.709773,0.719545,0.734318,0.728409,0.711136,0.717955,0.722727,0.718636,0.732727,0.725455,0.714545,0.735682,0.732955,0.730682,0.714773,0.712273,0.699773,0.686818,
9000,0.996222,0.998222,0.997778,0.995556,0.994,0.987333,0.984444,0.974667,0.966444,0.947111,0.919556,0.883111,0.837778,0.767778,0.694667,0.668889,0.652667,0.669111,0.677111,0.697556,0.698667,0.710667,0.713111,0.718,0.704222,0.710222,0.698,0.703333,0.709556,0.729778,0.726667,0.708889,0.720222,0.734222,0.729778,0.711556,0.718667,0.724444,0.719333,0.732222,0.726,0.716667,0.735556,0.732889,0.729333,0.713778,0.713556,0.701778,0.686444,
9200,0.996304,0.998043,0.997826,0.995435,0.99413,0.987391,0.98413,0.974783,0.966304,0.946304,0.919348,0.883261,0.838261,0.768261,0.692826,0.668696,0.653261,0.669783,0.678261,0.698696,0.697826,0.708913,0.714565,0.718913,0.702826,0.709348,0.698043,0.703913,0.71,0.732609,0.728478,0.709565,0.721957,0.735,0.731522,0.711522,0.720435,0.725217,0.718696,0.730435,0.727174,0.719348,0.734783,0.734348,0.73087,0.714348,0.714783,0.70087,0.68587,
9400,0.996383,0.998085,0.99766,0.995532,0.994043,0.987234,0.983617,0.974681,0.96617,0.945745,0.919149,0.883404,0.837872,0.766596,0.690638,0.670638,0.654043,0.671489,0.679149,0.697021,0.69766,0.709149,0.711915,0.718298,0.704894,0.710851,0.700213,0.70383,0.708085,0.732553,0.729362,0.710213,0.721702,0.733617,0.731489,0.713191,0.720851,0.725319,0.720638,0.730851,0.728085,0.717872,0.732979,0.736596,0.729787,0.71383,0.714255,0.700213,0.686596,
