noise,seed,0&1,1&2,2&3,3&4,4&5,5&6,6&7,7&8,8&9,9&10,10&11,11&12,12&13,13&14,14&15,15&16,16&17,17&18,18&19,19&20,20&21,21&22,22&23,23&24,24&25,25&26,26&27,27&28,28&29,29&30,30&31,31&32,32&33,33&34,34&35,35&36,36&37,37&38,38&39,39&40,40&41,41&42,42&43,43&44,44&45,45&46,46&47,47&48,48&49,
0.0316228,2502,0.99676,0.99772,0.99676,0.99496,0.993,0.98912,0.98388,0.97548,0.96392,0.94148,0.9134,0.86756,0.81412,0.7406,0.692,0.67104,0.68084,0.6916,0.7056,0.7134,0.7222,0.73904,0.74272,0.7362,0.73204,0.73932,0.74124,0.74172,0.7432,0.74236,0.738,0.73828,0.74332,0.7384,0.73756,0.73472,0.74036,0.73708,0.74,0.74508,0.73696,0.74528,0.73852,0.7348,0.73992,0.73964,0.73912,0.72812,0.719,
0.0316228,2503,0.99572,0.9976,0.99604,0.99496,0.99196,0.98848,0.98376,0.97384,0.96048,0.94144,0.9126,0.87212,0.81056,0.7486,0.6836,0.66868,0.68044,0.69096,0.7064,0.71924,0.72636,0.73396,0.73568,0.73404,0.74256,0.7406,0.73692,0.73852,0.74084,0.73248,0.73572,0.74124,0.74096,0.74044,0.7436,0.74436,0.73984,0.73976,0.74088,0.7404,0.73568,0.73816,0.73744,0.7372,0.74044,0.74104,0.72764,0.72536,0.71588,
0.0316228,2504,0.99628,0.99816,0.99692,0.99588,0.9928,0.98972,0.9842,0.97624,0.96212,0.94032,0.91104,0.87076,0.80804,0.74372,0.69132,0.66772,0.6872,0.69856,0.71612,0.72528,0.72932,0.73684,0.73352,0.73556,0.72852,0.73484,0.73852,0.74164,0.73824,0.74012,0.74312,0.74288,0.73976,0.74448,0.74072,0.7392,0.74164,0.73612,0.73696,0.73884,0.74012,0.74448,0.73608,0.73728,0.74404,0.73364,0.73248,0.72824,0.71688,
0.0316228,2505,0.99648,0.99816,0.99692,0.99508,0.99264,0.98964,0.98488,0.97592,0.96124,0.94252,0.91756,0.87608,0.81512,0.74988,0.68804,0.67012,0.6848,0.69584,0.71228,0.72176,0.72156,0.73372,0.73896,0.74032,0.7378,0.7366,0.73324,0.73492,0.73976,0.7402,0.73752,0.73832,0.73732,0.74012,0.73976,0.74228,0.73772,0.7412,0.74416,0.73836,0.74088,0.7374,0.74116,0.74004,0.73224,0.73052,0.7342,0.72916,0.71624,
0.0316228,2506,0.99612,0.99824,0.99696,0.99584,0.9934,0.9892,0.98592,0.97468,0.96116,0.93976,0.91512,0.87432,0.82108,0.75244,0.69668,0.66524,0.67212,0.6964,0.703,0.71464,0.7294,0.73516,0.7348,0.73676,0.73448,0.74388,0.73776,0.74128,0.74916,0.73896,0.73792,0.73808,0.7402,0.7382,0.74264,0.73864,0.74036,0.7422,0.738,0.73868,0.74348,0.74528,0.73672,0.74588,0.74016,0.73716,0.73128,0.72424,0.71392,
0.0316228,2507,0.99588,0.99792,0.99688,0.99568,0.9924,0.98804,0.9846,0.9736,0.9616,0.94188,0.91388,0.86908,0.81308,0.74432,0.68212,0.66664,0.68012,0.69528,0.71252,0.7196,0.72808,0.7338,0.73872,0.73204,0.74268,0.74328,0.74876,0.73572,0.73276,0.73624,0.73308,0.7456,0.73644,0.7338,0.7398,0.73828,0.74128,0.73844,0.74316,0.73788,0.73796,0.74104,0.7418,0.74068,0.73792,0.7326,0.73108,0.72856,0.70948,
0.0316228,2508,0.99616,0.99808,0.99628,0.99584,0.99204,0.98756,0.98304,0.97452,0.95968,0.941,0.91296,0.87228,0.81408,0.74068,0.6816,0.6738,0.68148,0.69788,0.714,0.72032,0.72412,0.72436,0.72976,0.73052,0.73916,0.7344,0.73892,0.7382,0.73908,0.7328,0.74268,0.7386,0.74104,0.74528,0.742,0.74348,0.7426,0.74204,0.74184,0.73828,0.73448,0.73772,0.74296,0.74028,0.734,0.74024,0.72884,0.7272,0.71636,
0.0316228,2509,0.99604,0.99796,0.99736,0.99448,0.9932,0.98968,0.9842,0.97444,0.96092,0.94216,0.90936,0.87148,0.81392,0.74776,0.6934,0.67896,0.67412,0.69372,0.71608,0.71828,0.7266,0.7422,0.73472,0.73868,0.73624,0.73976,0.73496,0.74132,0.74396,0.74612,0.73968,0.73792,0.7394,0.74208,0.74848,0.74004,0.7406,0.7386,0.73208,0.73348,0.73604,0.73216,0.73572,0.73496,0.74024,0.73536,0.72824,0.73092,0.71176,
0.0316228,2510,0.99604,0.99828,0.99688,0.99556,0.99284,0.98948,0.98464,0.97584,0.96164,0.9406,0.91852,0.87408,0.81768,0.755,0.6952,0.66792,0.68472,0.703,0.70296,0.71988,0.73244,0.72696,0.73652,0.73636,0.73816,0.7406,0.74024,0.74464,0.74016,0.74012,0.74184,0.74656,0.74208,0.74588,0.74156,0.73716,0.73944,0.73076,0.73672,0.74484,0.73824,0.73616,0.73948,0.73584,0.73784,0.73516,0.73588,0.72244,0.7158,
0.0316228,2511,0.99596,0.9976,0.99704,0.9948,0.99268,0.98932,0.98272,0.97584,0.959,0.94328,0.91372,0.87044,0.81448,0.74268,0.68632,0.6746,0.68624,0.7,0.70664,0.72296,0.72504,0.7338,0.73168,0.737,0.73652,0.74016,0.74076,0.74116,0.73936,0.74064,0.73876,0.73624,0.73568,0.74272,0.74184,0.74436,0.73692,0.74,0.74044,0.73896,0.74472,0.74468,0.73528,0.73548,0.73248,0.73572,0.73864,0.73356,0.71228,
0.0316228,2512,0.99532,0.99792,0.99672,0.99548,0.99292,0.98944,0.98284,0.9748,0.96288,0.94544,0.9154,0.87152,0.8152,0.74876,0.68612,0.66432,0.68584,0.6894,0.71128,0.71488,0.72904,0.73152,0.73752,0.73728,0.73312,0.74188,0.7356,0.74112,0.74428,0.73832,0.746,0.74132,0.74384,0.74108,0.737,0.7358,0.74212,0.7412,0.73724,0.73996,0.74024,0.7422,0.73516,0.737,0.74248,0.73908,0.73128,0.72784,0.7144,
0.0316228,2513,0.99632,0.99792,0.99636,0.99496,0.99244,0.99012,0.9844,0.97444,0.95964,0.94192,0.90976,0.87616,0.81624,0.74932,0.683,0.66952,0.67856,0.6948,0.70928,0.71548,0.72448,0.73008,0.73264,0.73804,0.73208,0.74404,0.73824,0.74156,0.73912,0.74588,0.73408,0.7366,0.74252,0.73976,0.7344,0.74008,0.74028,0.74648,0.7414,0.73488,0.73908,0.74072,0.74332,0.7398,0.73556,0.73096,0.72604,0.73052,0.71184,
0.0316228,2514,0.99592,0.99732,0.9968,0.99524,0.99272,0.98972,0.98376,0.97404,0.95924,0.942,0.9096,0.87088,0.81088,0.74048,0.6894,0.666,0.68172,0.6884,0.71148,0.7202,0.73008,0.73388,0.73024,0.72908,0.73684,0.73404,0.74376,0.74848,0.73832,0.74236,0.7394,0.738,0.74028,0.74008,0.739,0.7346,0.74024,0.73016,0.73604,0.73856,0.73932,0.73756,0.73936,0.73648,0.73824,0.73572,0.7304,0.72848,0.71276,
0.0316228,2515,0.9964,0.9978,0.99664,0.9958,0.9942,0.99028,0.98456,0.97716,0.9638,0.9442,0.91804,0.8804,0.821,0.75964,0.69004,0.66752,0.67528,0.69404,0.7092,0.7148,0.725,0.73476,0.7396,0.73712,0.73392,0.73776,0.73524,0.74008,0.73568,0.74392,0.74152,0.74412,0.73548,0.7344,0.73924,0.73984,0.74564,0.74308,0.74456,0.735,0.7412,0.74464,0.735,0.72992,0.7368,0.73692,0.72876,0.72632,0.71568,
0.0316228,2516,0.99552,0.99772,0.9968,0.99528,0.99252,0.9898,0.98164,0.97572,0.96352,0.94188,0.91308,0.87152,0.81324,0.74936,0.68644,0.67048,0.68636,0.702,0.70936,0.71184,0.72084,0.72872,0.74248,0.73864,0.74052,0.73796,0.73528,0.73816,0.73828,0.737,0.73984,0.7376,0.73792,0.73808,0.73916,0.73704,0.73648,0.74124,0.73844,0.73852,0.74248,0.7428,0.73792,0.74112,0.7364,0.73568,0.7304,0.72184,0.7154,
0.0316228,2517,0.996,0.99764,0.99636,0.9958,0.99316,0.9904,0.98392,0.97564,0.96236,0.94592,0.91648,0.87428,0.81296,0.74832,0.68948,0.67176,0.66484,0.69372,0.71692,0.7232,0.72768,0.73476,0.7304,0.73768,0.73416,0.73556,0.73964,0.7406,0.73776,0.73904,0.74208,0.74432,0.74352,0.7414,0.74412,0.74448,0.73732,0.73492,0.73436,0.74148,0.74292,0.74128,0.73504,0.73068,0.7364,0.7344,0.73744,0.72088,0.7144,
0.0316228,2518,0.99608,0.99804,0.99684,0.9954,0.99332,0.9904,0.98452,0.97544,0.96388,0.94432,0.91184,0.87156,0.81956,0.7504,0.68824,0.66636,0.67768,0.69408,0.70916,0.72336,0.72552,0.7324,0.7294,0.73564,0.73672,0.74156,0.73452,0.73704,0.74,0.73856,0.74076,0.7404,0.73812,0.74308,0.74128,0.73812,0.73744,0.73904,0.73892,0.73716,0.74872,0.7396,0.7388,0.73476,0.73604,0.73884,0.72892,0.72696,0.71204,
