oscillator_number,seed,0&1,1&2,2&3,3&4,4&5,5&6,6&7,7&8,8&9,9&10,10&11,11&12,12&13,13&14,14&15,15&16,16&17,17&18,18&19,19&20,20&21,21&22,22&23,23&24,24&25,25&26,26&27,27&28,28&29,29&30,30&31,31&32,32&33,33&34,34&35,35&36,36&37,37&38,38&39,39&40,40&41,41&42,42&43,43&44,44&45,45&46,46&47,47&48,48&49,
100,1260,0.99572,0.99812,0.99648,0.99504,0.99208,0.98892,0.9826,0.9744,0.95784,0.93632,0.906,0.86396,0.79616,0.71292,0.66552,0.66276,0.68936,0.7146,0.73856,0.74112,0.74944,0.74584,0.73928,0.7376,0.73856,0.73448,0.73708,0.73476,0.736,0.74124,0.74348,0.73736,0.74444,0.74068,0.73848,0.74096,0.73936,0.74,0.738,0.73668,0.73532,0.74,0.74088,0.73792,0.73196,0.74028,0.73472,0.7298,0.71104,
100,1261,0.99652,0.9988,0.99788,0.99636,0.99356,0.99152,0.98636,0.97804,0.96968,0.95172,0.92604,0.89152,0.84272,0.77868,0.7126,0.67732,0.67124,0.69368,0.71308,0.7262,0.72764,0.74256,0.73844,0.73616,0.73548,0.73848,0.73804,0.73856,0.74468,0.74492,0.73752,0.74268,0.73444,0.73696,0.74184,0.73964,0.73672,0.74536,0.7432,0.7416,0.74452,0.74388,0.73852,0.73708,0.74148,0.7344,0.7282,0.73132,0.714,
100,1262,0.99492,0.99704,0.99648,0.99448,0.99208,0.98688,0.97968,0.97076,0.95364,0.92204,0.88432,0.83112,0.7646,0.69004,0.65268,0.6682,0.69944,0.71868,0.7218,0.728,0.73116,0.72744,0.73552,0.737,0.73912,0.73456,0.73952,0.73892,0.73976,0.74024,0.73884,0.7366,0.73712,0.73348,0.73768,0.7416,0.73036,0.73736,0.74304,0.74336,0.74368,0.73636,0.73388,0.7394,0.73724,0.72968,0.732,0.72388,0.71528,
100,1263,0.99624,0.99856,0.99736,0.99552,0.99384,0.99036,0.98504,0.97868,0.96504,0.94976,0.92832,0.89588,0.85292,0.79748,0.739,0.68164,0.67796,0.68504,0.70036,0.71064,0.72344,0.72628,0.73548,0.73796,0.74668,0.74356,0.73636,0.73196,0.73936,0.73872,0.73288,0.73652,0.7374,0.7398,0.73944,0.74412,0.73748,0.73896,0.74016,0.7362,0.73712,0.7348,0.73692,0.7338,0.7358,0.73468,0.73092,0.72012,0.71172,
100,1264,0.99556,0.99752,0.9962,0.99532,0.99296,0.98852,0.98156,0.97476,0.958,0.937,0.90556,0.85736,0.7874,0.71452,0.6504,0.64576,0.67168,0.71112,0.73336,0.74744,0.75828,0.76568,0.7654,0.76928,0.75736,0.7628,0.75164,0.75672,0.74632,0.74196,0.7376,0.7358,0.7346,0.74128,0.73972,0.744,0.73796,0.74004,0.74076,0.7392,0.73928,0.73992,0.73296,0.73248,0.73936,0.73228,0.73052,0.7256,0.71524,
100,1265,0.99376,0.99724,0.99596,0.99336,0.99012,0.98536,0.97672,0.96576,0.9456,0.91316,0.86676,0.80604,0.70916,0.6454,0.64156,0.6754,0.71908,0.7456,0.75636,0.74844,0.74564,0.74392,0.74036,0.73368,0.73112,0.73756,0.73472,0.7348,0.7356,0.73504,0.7398,0.74324,0.7398,0.74224,0.74156,0.74116,0.73616,0.74112,0.73896,0.73748,0.73736,0.7414,0.73872,0.73608,0.7294,0.734,0.72936,0.72084,0.71488,
100,1266,0.99656,0.99832,0.99784,0.99684,0.99552,0.99308,0.98844,0.98232,0.97428,0.95972,0.94196,0.91492,0.87456,0.83404,0.77316,0.71236,0.68944,0.6894,0.70356,0.71028,0.71668,0.72204,0.73396,0.73764,0.74096,0.73572,0.74208,0.74616,0.7376,0.73916,0.73896,0.74404,0.7378,0.73164,0.73672,0.74424,0.74716,0.74292,0.73824,0.74492,0.74436,0.74104,0.73664,0.74488,0.74228,0.74068,0.73716,0.7286,0.71252,
100,1267,0.99572,0.99824,0.99732,0.99612,0.99292,0.98992,0.98276,0.9794,0.9654,0.95016,0.92476,0.88864,0.83656,0.77944,0.71484,0.68716,0.67388,0.6946,0.69484,0.71304,0.71816,0.73052,0.731,0.73556,0.73656,0.73764,0.73816,0.73836,0.74068,0.74316,0.74612,0.74084,0.73916,0.73664,0.73952,0.74228,0.74316,0.73312,0.73588,0.7384,0.74048,0.74056,0.73896,0.7386,0.74084,0.74048,0.7348,0.72164,0.71464,
100,1268,0.9958,0.99772,0.99692,0.99516,0.99344,0.98816,0.9826,0.97584,0.96004,0.94156,0.91316,0.86068,0.80164,0.72032,0.65496,0.64956,0.67632,0.71004,0.73016,0.74704,0.75224,0.75696,0.7546,0.76032,0.75764,0.75792,0.74928,0.75584,0.76076,0.75304,0.7498,0.75268,0.75036,0.745,0.73792,0.73972,0.7418,0.7386,0.73876,0.73168,0.73576,0.74304,0.73912,0.74304,0.74056,0.73504,0.7318,0.73068,0.71544,
100,1269,0.99592,0.99792,0.9966,0.99448,0.9926,0.98828,0.9818,0.97256,0.95648,0.93336,0.90128,0.85604,0.78292,0.71028,0.65988,0.6688,0.69212,0.71656,0.73164,0.73084,0.73748,0.73648,0.73948,0.7322,0.73388,0.73196,0.7408,0.73728,0.73816,0.73884,0.74344,0.739,0.73692,0.73628,0.73752,0.74584,0.7448,0.7444,0.7402,0.73268,0.73752,0.731,0.73696,0.74004,0.73868,0.74172,0.73252,0.72104,0.71216,
